제작사,제원관리번호,차명,연식,제작일자,셀 간 균형,평균전압_OCV_meas,SOC_calc,사용연수(t),캘린더 열화(△Q_cal),사이클 열화(△Q_cyc),SoH_pred(%),취득원가,연간감가비,조정연간감가비,중고거래가격
기아 주식회사,A0110007300081221,EV6,2022,2021-10-20,우수,4.06,93.93303142,3.744444444,0.038701134,0.103918634,85.73802316,"₩25,400,000 ","₩4,755,444 ","₩5,546,482 ","₩19,853,518 "
기아 주식회사,A0110007300251221,EV6,2022,2021-11-19,우수,4.06,93.93303142,3.663888889,0.038282575,0.054984979,90.67324457,"₩25,400,000 ","₩4,653,139 ","₩5,131,766 ","₩20,268,234 "
기아 주식회사,A0110007300031221,EV6,2022,2021-12-13,우수,4.057833333,93.8737378,3.597222222,0.037932689,0.062532188,89.95351229,"₩25,400,000 ","₩4,568,472 ","₩5,078,704 ","₩20,321,296 "
기아 주식회사,A0110007300031221,EV6,2022,2021-11-01,우수,4.058333333,93.88742095,3.713888889,0.038542905,0.062153168,89.93039264,"₩25,400,000 ","₩4,716,639 ","₩5,244,766 ","₩20,155,234 "
기아 주식회사,A0110007300031221,EV6,2022,2021-11-04,우수,4.0575,93.86461571,3.705555556,0.038499639,0.060081169,90.14191914,"₩25,400,000 ","₩4,706,056 ","₩5,220,718 ","₩20,179,282 "
기아 주식회사,A0110007300031221,EV6,2022,2021-11-02,우수,4.059833333,93.92847037,3.711111111,0.038528489,0.019884154,94.15873574,"₩25,400,000 ","₩4,713,111 ","₩5,005,495 ","₩20,394,505 "
기아 주식회사,A0110007300031221,EV6,2022,2021-12-13,우수,4.057,93.85093257,3.597222222,0.037932689,0.053107655,90.89596565,"₩25,400,000 ","₩4,568,472 ","₩5,026,045 ","₩20,373,955 "
기아 주식회사,A0110007300031221,EV6,2022,2021-12-27,우수,4.070666667,94.22493846,3.558333333,0.03772709,0.075156065,88.71168445,"₩25,400,000 ","₩4,519,083 ","₩5,094,124 ","₩20,305,876 "
기아 주식회사,A0110007300081221,EV6,2022,2021-10-05,우수,4.071,94.23406055,3.786111111,0.038915864,0.055960795,90.51233418,"₩25,400,000 ","₩4,808,361 ","₩5,312,382 ","₩20,087,618 "
기아 주식회사,A0110007300031221,EV6,2022,2021-12-28,우수,4.076166667,94.38314805,3.555555556,0.037712362,0.049410955,91.2876683,"₩25,400,000 ","₩4,515,556 ","₩4,946,512 ","₩20,453,488 "
기아 주식회사,A0110007300201221,EV6,2022,2021-11-15,우수,4.039833333,93.38114468,3.675,0.038340579,0.126460891,83.519853,"₩25,400,000 ","₩4,667,250 ","₩5,588,192 ","₩19,811,808 "
기아 주식회사,A0110007300031221,EV6,2022,2021-11-02,우수,4.04,93.38570573,3.711111111,0.038528489,0.066429584,89.50419269,"₩25,400,000 ","₩4,713,111 ","₩5,265,799 ","₩20,134,201 "
기아 주식회사,A0110007300031221,EV6,2022,2021-12-16,우수,4.04,93.38570573,3.588888889,0.037888726,0.067991975,89.41192991,"₩25,400,000 ","₩4,557,889 ","₩5,097,629 ","₩20,302,371 "
